tweet,date,user_location,id,link
"Jajaja apostamos un 0,5 con el profesor para el parcial final a quienes adivinarán la ganadora del Miss Universe Colombia. Adivinen quien se llevó un 0,5 seguro?? 🤣🤣 #MissUniverseColombia https://t.co/3VE7v8ws6F",2020-11-17 05:09:29,,1328565901642379265,https://twitter.com/i/web/status/1328565901642379265
Ésta belleza debería ser coronada Miss Universe Colombia.!!! 😍😍😍 https://t.co/LPPqqK0e8O,2020-11-17 05:09:21,Bogotá,1328565869547548672,https://twitter.com/i/web/status/1328565869547548672
Mi miss Colombia de corazón 🥺 https://t.co/xHSWy8xxNE,2020-11-17 05:09:18,,1328565856578785282,https://twitter.com/i/web/status/1328565856578785282
Miss oso 2020 digo digo miss universe Colombia 2020 ... https://t.co/VnnayJrI18,2020-11-17 05:09:14,,1328565839415681024,https://twitter.com/i/web/status/1328565839415681024
@Zurycantillo Porque el concurso de miss universo Colombia no especifica en sus reglas que no podía haber concursado antes en otro,2020-11-17 05:08:25,"Juan de Acosta, Colombia",1328565635333361670,https://twitter.com/i/web/status/1328565635333361670
"Lo mejor del Miss Universe Colombia, bollooooo lindooooo😍😍😍😍😍😍 https://t.co/zYeKXTlRyk",2020-11-17 05:07:54,Colombia,1328565504353689600,https://twitter.com/i/web/status/1328565504353689600
"La virreina de Miss Universe Colombia, merece mis aplausos por el derecho a la inclusión. 👏👏👏👍 https://t.co/9PWkR15Toi",2020-11-17 05:07:47,medellin colombia,1328565473529761793,https://twitter.com/i/web/status/1328565473529761793
"Miss universe Colombia me enseñó, que puedes tener ante tus ojos un partidazo y aún así ignorarlo #Amazonas #MissUniverseColombia",2020-11-17 05:07:40,"Buenaventura, Colombia",1328565446556196866,https://twitter.com/i/web/status/1328565446556196866
"Aclaro que no estoy en contra de la nueva Miss Colombia, al contrario, en mi opinión es bella y es inteligente, ojalá nos vaya bien en Miss Universo con ella :p",2020-11-17 05:07:38,Colombia.,1328565436141760512,https://twitter.com/i/web/status/1328565436141760512
"La señorita Bolívar, Laura Olascuaga fue elegida Miss Universe Colombia y representará al país en @MissUniverse, certamen que se realizará en 2021 🇨🇴👑
La ceremonia de coronación se celebró este lunes festivo desde la ciudad de Barranquilla.
@MISSUCOLORG https://t.co/bPE3Y315TN",2020-11-17 05:07:15,Colombia,1328565340188663809,https://twitter.com/i/web/status/1328565340188663809
"@andrestte1 @GabrielaTafur Luz Marina Zuluaga ganó miss universo habiendo quedado segunda como señorita Colombia.
🤷",2020-11-17 05:06:02,Colombia,1328565034910441474,https://twitter.com/i/web/status/1328565034910441474
No pasó invicto: los memes que dejó embarrada de Sebastián Carvajal en Miss Universe Colombia https://t.co/xdmgjvBxjE https://t.co/4NJwjpFan3,2020-11-17 05:05:18,Colombia,1328564850528710658,https://twitter.com/i/web/status/1328564850528710658
"Miss Bolivar Laura Olascuaga is Miss Universe Colombia 2020

Congratulations

 #MissUniversecolombia2020 #MissUniverseColombia https://t.co/O8oM1rx8Ys",2020-11-17 05:05:18,,1328564850440630274,https://twitter.com/i/web/status/1328564850440630274
"Yo me río del man de miss universo Colombia,  Pero estoy seguro que me pasaría. 
#AsiSomos",2020-11-17 05:05:17,"Bogotá,Colombia",1328564844656807938,https://twitter.com/i/web/status/1328564844656807938
Las candidatas del Miss Colombia ya estaban claras @JuanieMarishka https://t.co/gIeWSWGMXn,2020-11-17 05:03:41,,1328564442813124608,https://twitter.com/i/web/status/1328564442813124608
y que miss guajira iba para un xv en colombia libre JAJAJAJAJAJAJJAJAJA nombe no,2020-11-17 05:03:28,"Bucaramanga, Colombia",1328564388522045441,https://twitter.com/i/web/status/1328564388522045441
"@MisUniversecol @LauraOlascuaga Bueno y quién no sabía que Natalie vino por dinero, acaso es malo no hubo concurso solo hubo una presentación oficial de la srta bolivar como miss universe Colombia pero la competencia real estaba entre quindio y amazonas, está ola se plasma ante otras mujeres respiraba miedo!",2020-11-17 05:03:20,"Barranquilla, Colombia",1328564354862739457,https://twitter.com/i/web/status/1328564354862739457
@mariogonzb @miss_coronas Jajajajajajajajajajaja ella va a representar a Colombia no a Estados unidos indiguena lame culos gringos,2020-11-17 05:02:33,Colombia,1328564158128910336,https://twitter.com/i/web/status/1328564158128910336
"Me explican cómo es posible que en colombia bajen el rendimiento en todo mka, hasta en el hp miss universo colombia, no mka, las concursantes parecían las grillas del distrito 

Por favor volvamos a estos tiempos https://t.co/vjvKSfR6JJ",2020-11-17 05:02:27,"Cali, Colombia",1328564132539486208,https://twitter.com/i/web/status/1328564132539486208
@Ackermann_N en serio cuadrar todo para que Bolívar ganara? Una reina que el país no quiere... Por favor te vi muy mal organizando un reinado y nunca pensé en decir que @ReinadoColombia le da sopa y seco a @MisUniversecol. Laura no tiene los requisitos para ser Miss Colombia.,2020-11-17 05:02:26,Cali - Colombia,1328564127971876865,https://twitter.com/i/web/status/1328564127971876865
