tweet,date,user_location,id,link
Miss Colombia hoy 🙏🙏 https://t.co/DmSx0ad6Aa,2020-11-16 22:46:20,Cartagena-Colombia,1328469481430118401,https://twitter.com/i/web/status/1328469481430118401
Cómo así que Miss Universo Colombia? Qué es?,2020-11-16 22:44:22,,1328468983398473728,https://twitter.com/i/web/status/1328468983398473728
"@ThCaribbeanBoy Yo no sé pero ustedes creen que catriona MISS UNIVERSO 2018 la que elegido en su concurso nacional a la miss universo 2019 se va a prestar para una tramoya, de paso como es el primer año de MUC el vicepresidente de miss universo está en colombia para evaluar la competencia",2020-11-16 22:43:40,"Bucaramanga, Colombia",1328468808005263363,https://twitter.com/i/web/status/1328468808005263363
"Aunque esta vez no estuve muy pendiente del Miss Universe Colombia, mis favoritas son Quindio, Bolivar, Amazonas, Meta y Cauca. Una de las 5 se corona hoy.  FIN",2020-11-16 22:42:40,Bogotá,1328468559425654784,https://twitter.com/i/web/status/1328468559425654784
"¿Por qué hay gente que critica a lxs demás porque se van a ver el miss universo Colombia? Lo siento pero yo si me lo voy a ver porque es mi hijueputa televisor, a ti te debe valer verga si se lo ven o no, y no me importa el conflicto que tuvo cnb y esa gente, bai.🧍🏼‍♀️",2020-11-16 22:40:09,𝚣𝚚𝚞𝚊𝚍♡,1328467922818359296,https://twitter.com/i/web/status/1328467922818359296
"Ique no va a haber nueva Miss Colombia, sino que la actual va a seguir yendo al Miss universo. 

Colombia reciclable, eco friendly.",2020-11-16 22:37:59,Colombia,1328467378590670849,https://twitter.com/i/web/status/1328467378590670849
"Ajá, a qué hora es miss universe Colombia ?",2020-11-16 22:36:51,,1328467094514651145,https://twitter.com/i/web/status/1328467094514651145
"MISS UNIVERSE COLOMBIA 2020 - DAVIDSSOLOGY'S FINAL PREDICTION 🇨🇴

1. Meta
2. Cartagena
3. Bolivar
4. Santander
5. Cauca

TOP 10: Amazonas, Antioquia, Risaralda, Quindio, Casanare
TOP 16: Cundinamarca, Norte de Santander, Valle, Arauca, Tolima, Putumayo",2020-11-16 22:20:48,tu puta madre,1328463053101338624,https://twitter.com/i/web/status/1328463053101338624
Oficialmente declaró que Miss Universe Colombia su nueva canción será Dynamite 😊,2020-11-16 22:11:54,bogotá,1328460813619896325,https://twitter.com/i/web/status/1328460813619896325
Estoy que Miss Universe Colombia yaaaaa,2020-11-16 22:07:50,Colombia,1328459791715471362,https://twitter.com/i/web/status/1328459791715471362
