tweet,date,user_location,id,link
"#AlAireEnLaW En #WFinDeSemana estamos con Luis Borrego, periodista de Suelta la Sopa y publicista del concurso de belleza Miss Universe Colombia &gt;&gt; https://t.co/AMNglsACd7",2020-11-08 14:46:39,Colombia,1325449660383842305,https://twitter.com/i/web/status/1325449660383842305
"La belleza está en todas las mujeres colombianas, llenas de empuje y de talento. Por eso, sin importar de dónde sean, este 16 de noviembre queremos resaltar a #NuestrasMujeres, Nuestra belleza, 😍👏 en el evento de coronación de Miss Universe Colombia https://t.co/Ze91SIawRr https://t.co/q67oQr2g5c",2020-11-08 14:23:00,Colombia,1325443708137959425,https://twitter.com/i/web/status/1325443708137959425
#EnImágenes |  Todas las regiones en Miss Universe #Colombia https://t.co/zQ2UNefmLT https://t.co/AKvYaaZrZ4,2020-11-08 13:30:19,"Cúcuta, Colombia",1325430451725627392,https://twitter.com/i/web/status/1325430451725627392
"Carolina Londoño, Miss Antioquia en Miss Universe Colombia 2020.

#SrtaColombia #SeñoritaColombia #MissUniverseColombia  #MissColombia #MissUniverso #MissUniverse https://t.co/10bMXM7Olb https://t.co/yygC3JbdO7",2020-11-08 13:25:24,Colombia,1325429212275159043,https://twitter.com/i/web/status/1325429212275159043
"Mas imágenes de los pre grabados realizados ayer con las candidatas a Miss Universe Colombia.

#SrtaColombia #SeñoritaColombia #MissUniverseColombia  #MissColombia #MissUniverso #MissUniverse https://t.co/OzidQ7Amt8 https://t.co/dcMxP2t1HG",2020-11-08 13:25:21,Colombia,1325429202900951040,https://twitter.com/i/web/status/1325429202900951040
"Lo del ‘didto’ corrector tiene visos de pandemia 

Esta vez le tocó a @ALEXLEWIS8 

Coronavirus lo cambió por coronaviris 

La noticia es que a la Señorita San Andrés le dio y no puede estar en Miss Universe Colombia

@juli_sinfiltro @santiagoecheve @Yaya_blondie @Susanadeleonc https://t.co/8lOxITqsv7",2020-11-08 13:14:42,Barranquilla,1325426522195308545,https://twitter.com/i/web/status/1325426522195308545
"TERCER DÍA DE COMPETENCIA:
Pre grabados de RCN con las candidatas a Miss Universe Colombia 2020. 
#SrtaColombia #SeñoritaColombia #MissUniverseColombia  #MissColombia #MissUniverso #MissUniverse https://t.co/D20o57nzyj https://t.co/YWbzySRyVB",2020-11-08 12:25:25,Colombia,1325414117855916032,https://twitter.com/i/web/status/1325414117855916032
"🛑#ENTRETENIMIENTO🛑

Candidata a Miss Universe Colombia da positivo para COVID-19 https://t.co/3XFUEfpUBR Vía @LaJornadaco",2020-11-08 09:56:33,,1325376655075004418,https://twitter.com/i/web/status/1325376655075004418
"Hoy disfruto de cada momento, segundo, personaje y aprendizaje de esta experiencia única, me siento feliz de estar acá y darle cobertura a Miss Universe Colombia como siempre lo soñé. Si tan solo ustedes se imaginaran como me imaginaba estar en un lugar … https://t.co/giAmjaQFRl https://t.co/TqgyALI2IJ",2020-11-08 04:25:30,Colombia,1325293344059224065,https://twitter.com/i/web/status/1325293344059224065
"Hpta que estoy enamorada de esas viejas de miss universe colombia, que mujeres más hermosas.",2020-11-08 03:26:06,,1325278394058231808,https://twitter.com/i/web/status/1325278394058231808
¡ERA FAVORITA! - Valeria Ayos no podrá participar en el Miss Universe Colombia y esto dijo la organización al respecto 👇(+detalles)  ♨ https://t.co/6mXWmdLaFE,2020-11-08 02:38:02,Caracas - Venezuela,1325266297907720197,https://twitter.com/i/web/status/1325266297907720197
"Las mujeres colombianas tienen encantos diferentes, valores variados, pero la belleza, sin duda, está en TODAS. Este 16 de noviembre resaltaremos la de cada una de #NuestrasMujeres, Nuestra belleza, 😍👏 en el evento de coronación de Miss Universe Colombia https://t.co/Ze91SHSVsR https://t.co/VvIS5Lc5Aw",2020-11-08 02:24:00,Colombia,1325262765909405698,https://twitter.com/i/web/status/1325262765909405698
"Las mujeres colombianas tienen encantos diferentes, valores variados, pero la belleza, sin duda, está en TODAS. Este 16 de noviembre resaltaremos la de cada una de #NuestrasMujeres, Nuestra belleza, 😍👏 en el evento de coronación de Miss Universe Colombia https://t.co/Ze91SIawRr https://t.co/hPYAp7FiZS",2020-11-08 02:24:00,Colombia,1325262765796315139,https://twitter.com/i/web/status/1325262765796315139
Miss Universe Colombia 2020 https://t.co/ToHUG78ul8 vía @choicelyapp,2020-11-08 02:23:09,,1325262553816195073,https://twitter.com/i/web/status/1325262553816195073
"De las mujeres colombianas amamos TODO, porque en cada una de ellas tenemos una belleza única que las hace destacar en el mundo. Por eso, este 16 de noviembre coronaremos a #NuestrasMujeres, Nuestra belleza, 😍👏 en el Miss Universe Colombia https://t.co/Ze91SIawRr https://t.co/jsm6sJmTyN",2020-11-08 02:19:00,Colombia,1325261507488321541,https://twitter.com/i/web/status/1325261507488321541
Candidata a Miss Universe Colombia da positivo para COVID-19 https://t.co/g09MDsB2LH,2020-11-08 01:50:35,"Cúcuta, Colombia",1325254355914776577,https://twitter.com/i/web/status/1325254355914776577
¡ERA FAVORITA! - Valeria Ayos no podrá participar en el Miss Universe Colombia y esto dijo la organización al respecto 👇(+detalles) https://t.co/6mXWmdLaFE,2020-11-08 01:46:54,Caracas - Venezuela,1325253430483554304,https://twitter.com/i/web/status/1325253430483554304
"2020 esta tan raro, que no me he podido emocionar con miss universe Colombia... yo sin emocionarme por un reinado! Solo falta que en Diciembre no quiera regalos!",2020-11-08 00:40:51,medellin ,1325236809169776644,https://twitter.com/i/web/status/1325236809169776644
"La veo, la veo como Miss Universe Colombia https://t.co/Ij9nxKngM5",2020-11-07 23:39:29,"Bogotá, D.C., Colombia",1325221365117546497,https://twitter.com/i/web/status/1325221365117546497
